+1  -1837.8221475779 -1837.5836829085 -1837.5836828220 -1837.5836828122 -1837.5836828342 -1837.5836828698 -1837.5836827994 -1837.6355934964 -1837.6355935112 -1837.6355935503 -1837.6355935903 -1837.6355935708 -1837.6355935260 -1837.5502006178 -1837.5502006028 -1837.6022886352 -1837.6022886110
-1  -1837.8217295732 -1837.5822810846 -1837.5822811589 -1837.5822810760 -1837.5822810124 -1837.5822809787 -1837.5822811907 -1837.6344970766 -1837.6344970934 -1837.6344971352 -1837.6344970358 -1837.6344970591 -1837.6344971598 -1837.5489125524 -1837.5489125406 -1837.6012141327 -1837.6012141119
+2  -1837.8223405771 -1837.5843723283 -1837.5843714059 -1837.5843712344 -1837.5843710552 -1837.5843701904 -1837.5843712477 -1837.6361256769 -1837.6361256571 -1837.6361256441 -1837.6361255766 -1837.6361255862 -1837.6361256341 -1837.5508317320 -1837.5508317114 -1837.6028099433 -1837.6028099157
-2  -1837.8215151177 -1837.5815722938 -1837.5815721721 -1837.5815721282 -1837.5815721148 -1837.5815719393 -1837.5815720565 -1837.6339439590 -1837.6339438895 -1837.6339439217 -1837.6339439299 -1837.6339438806 -1837.6339438600 -1837.5482609287 -1837.5482609157 -1837.6006720829 -1837.6006720587
+3  -1837.8225249307 -1837.5850521846 -1837.5850521316 -1837.5850521680 -1837.5850521040 -1837.5850521187 -1837.5850521129 -1837.6366493617 -1837.6366488630 -1837.6366490806 -1837.6366489868 -1837.6366487169 -1837.6366492256 -1837.5514552517 -1837.5514552229 -1837.6033226972 -1837.6033226533
-3  -1837.8212955311 -1837.5808574951 -1837.5808573951 -1837.5808576267 -1837.5808575769 -1837.5808573666 -1837.5808574842 -1837.6333858948 -1837.6333859302 -1837.6333859394 -1837.6333857892 -1837.6333859965 -1837.6333858580 -1837.5476038122 -1837.5476037905 -1837.6001253400 -1837.6001253013
+4  -1837.8227034707 -1837.5857269923 -1837.5857269370 -1837.5857269492 -1837.5857268848 -1837.5857269107 -1837.5857269713 -1837.6371669254 -1837.6371667913 -1837.6371668395 -1837.6371668728 -1837.6371667778 -1837.6371667400 -1837.5520727804 -1837.5520727441 -1837.6038299685 -1837.6038299107
-4  -1837.8210677002 -1837.5801355282 -1837.5801353236 -1837.5801352773 -1837.5801354484 -1837.5801356294 -1837.5801356880 -1837.6328196917 -1837.6328196149 -1837.6328198073 -1837.6328194994 -1837.6328198723 -1837.6328196496 -1837.5469392405 -1837.5469392112 -1837.5995705016 -1837.5995704506
+5  -1837.8228767844 -1837.5863962380 -1837.5863961968 -1837.5863961136 -1837.5863961102 -1837.5863959911 -1837.5863960353 -1837.6376797210 -1837.6376796697 -1837.6376796380 -1837.6376796811 -1837.6376795658 -1837.6376796036 -1837.5526848107 -1837.5526847660 -1837.6043323867 -1837.6043323187
-5  -1837.8208311347 -1837.5794061887 -1837.5794059026 -1837.5794057636 -1837.5794055828 -1837.5794053397 -1837.5794057336 -1837.6322447699 -1837.6322447582 -1837.6322448103 -1837.6322447045 -1837.6322446669 -1837.6322447898 -1837.5462668643 -1837.5462668274 -1837.5990070689 -1837.5990070046
+6  -1837.8230407517 -1837.5870574772 -1837.5870574153 -1837.5870572416 -1837.5870570729 -1837.5870569919 -1837.5870571835 -1837.6381829931 -1837.6381830948 -1837.6381830361 -1837.6381829667 -1837.6381829442 -1837.6381830147 -1837.5532886289 -1837.5532885780 -1837.6048254678 -1837.6048253876
-6  -1837.8205895569 -1837.5786711711 -1837.5786695924 -1837.5786703629 -1837.5786700897 -1837.5786706029 -1837.5786703409 -1837.6316652397 -1837.6316651801 -1837.6316651994 -1837.6316650952 -1837.6316651281 -1837.6316651704 -1837.5455890061 -1837.5455889612 -1837.5984391101 -1837.5984390330
+7  -1837.8231996543 -1837.5877127572 -1837.5877127952 -1837.5877129231 -1837.5877127339 -1837.5877125576 -1837.5877126585 -1837.6386816948 -1837.6386816016 -1837.6386816394 -1837.6386816218 -1837.6386815286 -1837.6386815546 -1837.5538870025 -1837.5538869414 -1837.6053139007 -1837.6053138094
-7  -1837.8203389265 -1837.5779271032 -1837.5779272495 -1837.5779270491 -1837.5779268046 -1837.5779269471 -1837.5779270165 -1837.6310771468 -1837.6310759341 -1837.6310765139 -1837.6310764127 -1837.6310765335 -1837.6310764469 -1837.5449031048 -1837.5449030530 -1837.5978621645 -1837.5978620762
+8 -1837.8233495873 -1837.5883605819 -1837.5883606167 -1837.5883608381 -1837.5883604333 -1837.5883602393 -1837.5883605067 -1837.6391712619 -1837.6391711067 -1837.6391711532 -1837.6391710599 -1837.6391710393 -1837.6391711050 -1837.5544775262 -1837.5544774581 -1837.6057933812 -1837.6057932758
-8 -1837.8200830512 -1837.5771779327 -1837.5771779259 -1837.5771778843 -1837.5771778239 -1837.5771777274 -1837.5771777442 -1837.6304830494 -1837.6304829735 -1837.6304829506 -1837.6304828870 -1837.6304828497 -1837.6304829355 -1837.5442115342 -1837.5442114749 -1837.5972804703 -1837.5972803695
