#    time[fs]          Re(autocorrel)      Im(autocorrel)      Abs(autocorrel)
    17.20000000       -0.00000009498357    0.00000001626532    0.00000009636617
    17.40000000       -0.00000000725795    0.00000010915377    0.00000010939481
    17.60000000        0.00000011305700    0.00000003672401    0.00000011887194
    17.80000000        0.00000006579545   -0.00000009953808    0.00000011931836
    18.00000000       -0.00000006106510   -0.00000008981798    0.00000010861038
    18.20000000       -0.00000010084782   -0.00000001121160    0.00000010146913
    18.40000000       -0.00000012395022    0.00000008384768    0.00000014964655
    18.60000000        0.00000001804929    0.00000027547176    0.00000027606243
    18.80000000        0.00000045219270    0.00000011634057    0.00000046691901
    19.00000000        0.00000032973560   -0.00000063071468    0.00000071170680
    19.20000000       -0.00000078519768   -0.00000061657083    0.00000099834612
    19.40000000       -0.00000095333301    0.00000089826984    0.00000130985974
    19.60000000        0.00000096906032    0.00000130643273    0.00000162660518
    19.80000000        0.00000164698216   -0.00000100397101    0.00000192886185
    20.00000000       -0.00000101628794   -0.00000193677930    0.00000218722547
    20.20000000       -0.00000198202516    0.00000121852095    0.00000232663212
    20.40000000        0.00000171087201    0.00000164746071    0.00000237512311
    20.60000000        0.00000103711911   -0.00000211729527    0.00000235765886
    20.80000000       -0.00000227084156   -0.00000028013552    0.00000228805536
    21.00000000        0.00000056880117    0.00000216166900    0.00000223525113
    21.20000000        0.00000162284559   -0.00000145935783    0.00000218251074
    21.40000000       -0.00000201924934   -0.00000058669317    0.00000210275457
    21.60000000        0.00000053209877    0.00000192937132    0.00000200140021
    21.80000000        0.00000132917866   -0.00000129655201    0.00000185681529
    22.00000000       -0.00000158985151   -0.00000055474564    0.00000168385586
    22.20000000        0.00000017737486    0.00000147833066    0.00000148893364
    22.40000000        0.00000104313805   -0.00000073979740    0.00000127884213
    22.60000000       -0.00000097539415   -0.00000043105880    0.00000106639835
    22.80000000        0.00000013332869    0.00000082947978    0.00000084012692
    23.00000000        0.00000043953262   -0.00000048371687    0.00000065358315
    23.20000000       -0.00000057718321    0.00000003883228    0.00000057848803
    23.40000000        0.00000045944465    0.00000042433497    0.00000062541950
    23.60000000        0.00000008041853   -0.00000072081476    0.00000072528688
    23.80000000       -0.00000082572179    0.00000035924333    0.00000090048445
    24.00000000        0.00000082526635    0.00000081149040    0.00000115740279
    24.20000000        0.00000067880752   -0.00000131574132    0.00000148052520
    24.40000000       -0.00000180224667   -0.00000037575946    0.00000184100197
    24.60000000        0.00000002461577    0.00000215491561    0.00000215505620
    24.80000000        0.00000236257475   -0.00000039759923    0.00000239579728
    25.00000000       -0.00000083700574   -0.00000259861506    0.00000273008770
    25.20000000       -0.00000296703869    0.00000148823557    0.00000331936194
    25.40000000        0.00000243381234    0.00000343257198    0.00000420784897
    25.60000000        0.00000393277987   -0.00000360616705    0.00000533584092
    25.80000000       -0.00000472583584   -0.00000447606464    0.00000650912276
    26.00000000       -0.00000516711819    0.00000536331621    0.00000744743386
    26.20000000        0.00000508579389    0.00000616975098    0.00000799569426
    26.40000000        0.00000756979133   -0.00000366608689    0.00000841082242
    26.60000000       -0.00000120950220   -0.00000920474449    0.00000928386862
    26.80000000       -0.00001051731799   -0.00000183854843    0.00001067680842
    27.00000000       -0.00000474347787    0.00001073541931    0.00001173668650
    27.20000000        0.00000917020283    0.00000683808472    0.00001143905689
    27.40000000        0.00000795288234   -0.00000506482161    0.00000942871972
    27.60000000        0.00000203062965   -0.00000869344065    0.00000892745020
    27.80000000       -0.00000983619764   -0.00001158834091    0.00001520001411
    28.00000000       -0.00002278316812    0.00001209239130    0.00002579338437
    28.20000000        0.00001479033425    0.00003297077449    0.00003613621394
    28.40000000        0.00004073824438   -0.00001010697992    0.00004197327243
    28.60000000        0.00000942986887   -0.00005081888198    0.00005168637337
    28.80000000       -0.00006903369202   -0.00004592501311    0.00008291415719
    29.00000000       -0.00009342870111    0.00009752691480    0.00013505710385
    29.20000000        0.00013068684724    0.00013717175254    0.00018946013232
    29.40000000        0.00015754594511   -0.00015163882409    0.00021866654474
    29.60000000       -0.00012977532070   -0.00015302055336    0.00020064128093
    29.80000000       -0.00015874606789    0.00006656108347    0.00017213567877
    30.00000000        0.00005451476353    0.00015779102346    0.00016694270432
    30.20000000        0.00009204526687   -0.00027269223630    0.00028780789929
    30.40000000       -0.00073321699789   -0.00001502865381    0.00073337100190
    30.60000000        0.00008897186410    0.00126297455892    0.00126610454903
    30.80000000        0.00200415948455   -0.00018801562520    0.00201295929289
    31.00000000        0.00011807096378   -0.00330207838686    0.00330418861832
    31.20000000       -0.00484712474157   -0.00144142320026    0.00505690805756
    31.40000000       -0.00378278951076    0.00535342360185    0.00655504696731
    31.60000000        0.00423647414996    0.00634254873400    0.00762729556700
    31.80000000        0.00830936059914   -0.00297946632365    0.00882738314227
    32.00000000       -0.00446378611556   -0.00759584132635    0.00881034573332
    32.20000000       -0.00038181722809    0.00897609735308    0.00898421438344
    32.40000000        0.01694670904778   -0.01431321574542    0.02218240502121
    32.60000000       -0.03901591301702   -0.03477332872819    0.05226304487294
    32.80000000       -0.07087069267653    0.06671714161821    0.09733361221159
    33.00000000        0.09873666911266    0.13343112879383    0.16599034899252
    33.20000000        0.23011426926500   -0.15748749965066    0.27884563734364
    33.40000000       -0.25804487110575   -0.39092116759234    0.46840849135743
    33.60000000       -0.62788154887452    0.43798299212484    0.76554839220503
    33.80000000        0.72538190293860    0.95474900057779    1.19905152483750
    34.00000000        1.40262474865747   -1.37206928006909    1.96212392443896
    34.20000000       -2.96331720867748   -1.44265099791866    3.29582930095595
    34.40000000        0.51863434425191    5.22135333106785    5.24704795012309
    34.60000000        6.18703445576497   -5.45285294748749    8.24699949216356
    34.80000000      -12.42810777584636   -2.21211772134488   12.62344357539340
    35.00000000       11.42790361114455   15.01064637845252   18.86574900831029
    35.20000000       -2.47565464401317  -34.66033452050618   34.74863529679715
    35.40000000      -54.88011104370444   68.54924708547428   87.81130829315056
    35.60000000      240.11156597003023   30.58199915384919  242.05128131209347
    35.80000000     -158.68969781630381 -627.90889439052319  647.65114054385720
    36.00000000    -1396.01990960628427  615.64084178118469  1525.74088038768355
    36.20000000      890.82823383262996  2687.23445369280353  2831.04290877178755
    36.40000000     4613.80186863967265 -554.07886486348423  4646.95288028094092
    36.60000000    -1090.40537630076051 -6784.40817022754163  6871.47568611836323
    36.80000000    -6995.74757335688173  1751.08798020830886  7211.57356091988549
    37.00000000    -1694.70169841471875  6493.91548103151399  6711.40463102847752
    37.20000000     7481.02958142572334  4125.21146157537260  8543.01897462949455
    37.40000000     -470.69184059244566 -5578.03513954781192  5597.85912888404891
    37.60000000     1729.20868281479557   -9.58061580476020  1729.23522313226044
    37.80000000   -20891.95320113652269  1182.86100262671653  20925.41203202493125
    38.00000000    54199.78108290863747  31996.50065241954144  62939.59265387333289
    38.20000000   -68479.37788578802429 -123754.48712529405020  141437.61267523260904
    38.40000000     3737.15936539474615  251306.31294033961603  251334.09892768284772
    38.60000000   162581.87255528508103 -338483.99142362142447  375505.36312235170044
    38.80000000  -422292.79043914942304  303392.70082510559587  519979.16474685346475
    39.00000000   706126.51724550209474 -108183.08515154624183  714365.61946258950047
    39.20000000  -974389.01019191334490 -343687.84692346322117  1033225.66717327653896
    39.40000000   613825.02205296501052  1328008.66306001506746  1463006.55051874998026
    39.60000000  1108680.01291434629820 -966830.27772574650589  1471030.98436538688838
    39.80000000   -78986.26028077464434 -874778.77989162155427  878337.48813415470067
    40.00000000 -1867201.27636343403719 -2370586.69596312614158  3017635.14851126587018
    40.20000000 -6995915.40807675942779  5944016.59339527320117  9180096.16831567510962
    40.40000000  17556037.95540185645223  10480797.54776788130403  20446554.37790944427252
    40.60000000  10319183.20476328767836 -40908187.39602179825306  42189635.43385395407677
    40.80000000 -61144510.73548216372728 -24999155.75695829093456  66057618.64949534088373
    41.00000000 -67540345.57464818656445  21093316.85913765057921  70757517.59681001305580
    41.20000000 -81085301.45421256124973  49728291.34590011090040  95119551.47131030261517
    41.40000000 -2111671.75471232645214  83064447.52363029122353  83091284.74157552421093
    41.60000000 -40123451.67398097366095 -36932147.54944184422493  54533245.79417614638805
    41.80000000 -83051537.48053216934204  205650863.78206059336662  221787816.73524785041809
    42.00000000  289024885.43856352567673  9345872.90972220152617  289175949.45503240823746
    42.20000000 -138319069.08989530801773 -205473388.43957051634789  247692305.55415698885918
    42.40000000 -10525266.64249237067997  178838493.08203914761543  179147949.59962600469589
    42.60000000  61512508.32696734368801 -109224179.16579842567444  125354337.75947946310043
    42.80000000 -73155684.76640938222408  45918891.28401922434568  86373021.19525423645973
    43.00000000  38556020.82017177343369 -3626475.13124552275985  38726193.50469474494457
    43.20000000 -45005289.71771794557571  70226843.27467113733292  83410344.79548054933548
    43.40000000  186329344.18880897760391  51183268.85946703702211  193231341.96338889002800
    43.60000000  5180478.96202821284533 -216321857.91699135303497  216383880.11803236603737
    43.80000000 -199741366.30574631690979  103245198.75441017746925  224847024.61790326237679
    44.00000000  239771863.26923146843910  115691158.30147568881512  266223572.44379419088364
    44.20000000 -149502109.28835338354111 -349186050.58639198541641  379844413.68248271942139
    44.40000000 -303509872.71614402532578  643965218.93523204326630  711905503.58490085601807
    44.60000000  1502622223.45450234413147 -16972451.32952976599336  1502718074.19871211051941
    44.80000000 -365676529.59858638048172 -2867858131.06625270843506  2891077581.84073734283447
    45.00000000 -4548635125.47732734680176 -408888762.22560912370682  4566976190.50072669982910
    45.20000000 -2049356965.91161561012268  4234829910.74242210388184  4704641149.61482810974121
    45.40000000  132722780.83122482895851  2049498483.88547372817993  2053791462.63695144653320
