temperature,internal energy,partition function,free energy,chemical entropy,q variance 1,q variance 2,q variance 3,q variance 4,q variance 5,q variance 6,q avg 1,q avg 2,q avg 3,q avg 4,q avg 5,q avg 6,q square avg 1,q square avg 2,q square avg 3,q square avg 4,q square avg 5,q square avg 6,state 1 pop,state 2 pop,state 3 pop,state 4 pop,state 5 pop,state 6 pop
10000.0,5.210002203660796,2905.0635114762463,-6.8716429638452965,0.0012081645167506092,5.813186689338167,5.4679940545772565,4.510949750083212,3.919206082509612,2.379220571074936,2.326835610233483,0.0,0.0,-3.983268482500623e-06,3.426148879637559e-07,1.9179544943214066e-06,0.0,5.813186689338167,5.4679940545772565,4.510949750099078,3.9192060825097292,2.3792205710786143,2.326835610233483,1.0475102540366745e-05,2.3701828598629222e-07,3.2336810007784034e-08,2.3048369426319422e-08,2.0398950575983834e-08,0.9999892120950437
9678.355969932576,5.044974081017329,2383.9176064995936,-6.485727275238706,0.001191390499799561,5.627148798178659,5.2931187404830435,4.367069083587428,3.7945417115868647,2.3050049482286097,2.2543580478003475,-5.914239380079128e-14,2.3586837657496972e-11,-2.8872185071868385e-06,1.6428146729149102e-07,1.358444940121942e-06,-3.67091632602263e-12,5.627148798178659,5.2931187404830435,4.367069083595765,3.794541711586892,2.305004948230455,2.2543580478003475,7.3772924852209784e-06,1.391580368589934e-07,1.846959278141579e-08,1.4663585180364289e-08,1.2307526210575802e-08,0.9999924381087738
9183.68496282225,4.791364175456597,1735.4299726244662,-5.9029768999992625,0.0011644934597331144,5.341097092636574,5.0242382213893295,4.14587181553089,3.602911586409172,2.1910238854917874,2.143053453128031,-1.9821129089039453e-13,7.525841282035361e-11,-1.7096728615930876e-06,-1.1621373650945743e-08,7.835357962273875e-07,-1.0077097449656942e-11,5.341097092636574,5.0242382213893295,4.145871815533813,3.602911586409172,2.191023885492401,2.143053453128031,4.1603410990791196e-06,5.7654095414826334e-08,7.323447743351789e-09,7.0133893144622195e-09,5.480832944946936e-09,0.9999957621871355
8872.028524551539,4.631714263310193,1407.9879583422655,-5.542795452271392,0.0011468075973184368,5.1609219437405,4.8548841561799065,4.0065700215447535,3.482247014682493,2.1193236167273115,2.073041859176524,-2.6639981491860795e-13,1.0780737639682258e-10,-1.1911963778432946e-06,-7.502468571439008e-08,5.511527077207344e-07,-1.5796981115063074e-11,5.1609219437405,4.8548841561799065,4.006570021546173,3.482247014682499,2.1193236167276153,2.073041859176524,2.824154103526036e-06,3.1475713874475916e-08,3.881087021355196e-09,4.336230038000554e-09,3.23125342798104e-09,0.9999971329216122
8580.830484017726,4.482645541509828,1150.177031859299,-5.211321211183891,0.0011297236055122254,4.9926099491541445,4.6966851901400215,3.8764587896585954,3.3695566034599866,2.052417295862159,2.0077152685722246,-2.865133425765317e-13,1.2222667570554104e-10,-8.302610484292862e-07,-9.994911402715762e-08,3.9087070330502616e-07,-1.8442603912355642e-11,4.9926099491541445,4.6966851901400215,3.8764587896592846,3.3695566034599964,2.0524172958623117,2.0077152685722246,1.9249564011463384e-06,1.7232698671862414e-08,2.068212876188636e-09,2.7479793360643832e-09,1.964257493471417e-09,0.9999980510304506
8199.294209932857,4.287494593985506,872.8933594465078,-4.784695905406964,0.0011064599302220623,4.772141235393083,4.489470619924694,3.706058949697237,3.2219934205768244,1.9648972724927334,1.9222681742853784,-2.669207809212029e-13,1.201702568444551e-10,-4.976259325313774e-07,-9.923271011018028e-08,2.416786701808064e-07,-1.8408183958210993e-11,4.772141235393083,4.489470619924694,3.7060589496974847,3.221993420576834,1.9648972724927918,1.9222681742853784,1.1242263270712845e-06,7.390691297688425e-09,8.607343912871155e-10,1.5441939597662992e-09,1.0337995231395723e-09,0.9999988649442537
7850.242642705351,4.109140642900957,670.2803992460006,-4.402336497464254,0.0010842310903949315,4.570509608435146,4.299968838704102,3.550252314852216,3.08709179330093,1.8849886577170982,1.8442594876233842,-2.0625939933477715e-13,1.0478593550178562e-10,-2.9726615648270416e-07,-8.216647980597946e-08,1.5020343003838627e-07,-1.6240730607543065e-11,4.570509608435146,4.299968838704102,3.550252314852304,3.0870917933009365,1.8849886577171209,1.8442594876233842,6.595912391298316e-07,3.1866582112138403e-09,3.6433139749006876e-10,1.051219332630864e-09,5.937739863093113e-10,0.999999335212778
7689.396027099508,4.027017974210703,591.0573022577237,-4.2287887973505445,0.001073661278787769,4.4776193997496225,4.212669628798855,3.478485500611114,3.0249627702667943,1.848223163948654,1.8083707481906492,-1.5568246962115996e-13,9.526364799937894e-11,-2.3017080804551436e-07,-7.226580671384802e-08,1.1914666099013646e-07,-1.485229011121296e-11,4.4776193997496225,4.212669628798855,3.478485500611167,3.0249627702667996,1.8482231639486681,1.8083707481906492,5.081997518457505e-07,2.1098961975753293e-09,2.4021985257136546e-10,1.1256734506712506e-09,4.697279756787367e-10,0.9999994878547306
7629.076340859673,3.9962320871606485,563.4315115109923,-4.164146957328109,0.0010696418124411132,4.4427886149452975,4.179935635146265,3.4515772948201815,3.001669660846931,1.8344455909584376,1.7949221873724985,-1.0163771278142277e-13,9.14801156145929e-11,-2.0815806994795125e-07,-6.83848884195261e-08,1.0912919272283639e-07,-1.429114786537379e-11,4.4427886149452975,4.179935635146265,3.451577294820225,3.001669660846936,1.8344455909584496,1.7949221873724985,4.596639756948896e-07,1.800143747365438e-09,2.048712693013223e-10,1.4416914782046409e-09,4.3252432306604987e-10,0.9999995364567935
7584.9008648756835,3.9736893910507147,543.8878501135413,-4.11696041401217,0.0010666783850174278,4.417283931802354,4.155964292406448,3.431872826904105,2.984613009645323,1.8243590805039243,1.7850767085111565,2.2854430128702443e-13,8.867039185518983e-11,-1.9171166445161805e-07,-6.519179425137051e-08,1.029650563710978e-07,-1.386572435918444e-11,4.417283931802354,4.155964292406448,3.431872826904142,2.9846130096453276,1.824359080503935,1.7850767085111565,4.266889165622475e-07,1.6001766186847423e-09,1.8214395524167808e-10,2.9923361878971826e-09,4.080943150643204e-10,0.9999995681283324
